mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,energy,zcr,spectral_centroid,label
-365.2702331542969,118.70614624023438,-53.79822540283203,14.072811126708984,-0.4942510724067688,5.942803382873535,-3.136152744293213,-0.3217012584209442,-5.2933244705200195,4.799008369445801,-9.112316131591797,-11.950987815856934,9.85575008392334,0.0038643800653517246,0.13054142441860464,1790.8686589378278,1
-378.65478515625,66.53412628173828,-13.089471817016602,9.199844360351562,-41.55110168457031,0.43869200348854065,-16.307130813598633,22.109785079956055,-2.704803705215454,-10.396349906921387,0.20839223265647888,-6.602745056152344,-4.670193195343018,0.00870388001203537,0.18418190696022727,2433.43892556308,1
-317.7000427246094,61.69987106323242,-16.409303665161133,47.65825653076172,-9.42739486694336,48.323692321777344,2.552044153213501,-8.525460243225098,-12.44680404663086,28.670516967773438,8.479291915893555,-0.47242847084999084,18.696903228759766,0.017022602260112762,0.28165991269861224,2834.326552491833,0
-236.01255798339844,1.2654078006744385,-53.62531661987305,62.385982513427734,-27.92618179321289,7.741184711456299,-27.115360260009766,25.536884307861328,-39.018795013427734,-17.864524841308594,-15.526383399963379,-17.357271194458008,-0.48198121786117554,0.1823948174715042,0.1335421787219101,2567.750613357828,0
-412.7065124511719,65.09479522705078,3.1771531105041504,57.28183364868164,14.273606300354004,6.51204252243042,-4.094851493835449,5.025639057159424,-2.299417734146118,-8.926356315612793,-6.4392852783203125,-4.744280815124512,-3.51267409324646,0.012019418179988861,0.09292879971590909,1717.4368805308973,1
-497.5771179199219,73.0672607421875,-26.4354248046875,16.339746475219727,-22.169902801513672,10.417959213256836,-3.386059522628784,9.20627212524414,-0.20286303758621216,-7.680051803588867,-2.644200086593628,-11.372786521911621,-3.638704776763916,0.0012308076256886125,0.08623712713068182,1986.769875323544,1
-560.6480102539062,82.15008544921875,-14.991120338439941,34.14766311645508,12.386951446533203,-3.7126305103302,-12.043089866638184,-6.408336162567139,-9.166929244995117,-11.976184844970703,-8.643306732177734,-9.635688781738281,-10.385283470153809,0.00036484733573161066,0.1332674893465909,1998.305609223589,1
-177.3131561279297,103.59065246582031,-40.74262237548828,68.17433166503906,-31.06369400024414,29.5469913482666,-5.219235897064209,28.557525634765625,-9.127636909484863,15.477945327758789,11.889490127563477,-8.389973640441895,5.4014177322387695,0.02896391600370407,0.15291748046875,2305.043994653556,0
-163.8430938720703,170.3090362548828,7.1773552894592285,63.893280029296875,-6.210862636566162,32.97500228881836,-7.767149925231934,11.325035095214844,-0.9670630097389221,-1.260440707206726,-1.2960957288742065,-7.238437175750732,9.783004760742188,0.048743318766355515,0.023777040916209868,761.628539081691,0
-409.7179870605469,109.62261199951172,-22.090717315673828,25.322711944580078,-0.23377849161624908,-3.239880323410034,9.019047737121582,-0.7342872619628906,-17.33159065246582,1.7015143632888794,-5.53415584564209,-8.549104690551758,1.8372341394424438,0.009985214099287987,0.1573486328125,2094.703769714168,1
